id	rc	secs	start	end	desc
A01	0	0.1	2026-09-24T14:51:04+0900	2026-09-24T14:51:04+0900	ci-branch.yml · macos-rust-pack · 팩 스위트 레인 대조 (ci-branch ⇔ release ⇔ pack-release 드리프트 차단 + windows-build 부분 레인 계약)
A02	0	19.3	2026-09-24T14:51:04+0900	2026-09-24T14:51:23+0900	ci-branch.yml · macos-rust-pack · 게이트 대장 회귀(test_report_gate) + flake 게이트 N=5 (macOS)
A03	0	2.5	2026-09-24T14:51:23+0900	2026-09-24T14:51:26+0900	ci-branch.yml · macos-rust-pack · 선언 파서 2언어 파리티 (골든 픽스처 + 조합 1024건 · macOS)
A04.test_report_ghost	0	1.1	2026-09-24T14:51:26+0900	2026-09-24T14:51:27+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_report_ghost
A04.test_hud_bridge_skew	0	0.3	2026-09-24T14:51:27+0900	2026-09-24T14:51:27+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_hud_bridge_skew
A04.test_todo_shared_constants	0	0.6	2026-09-24T14:51:27+0900	2026-09-24T14:51:28+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_todo_shared_constants
A04.test_todo_stamp	0	0.4	2026-09-24T14:51:28+0900	2026-09-24T14:51:28+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_todo_stamp
A04.test_import_guard	0	6.6	2026-09-24T14:51:28+0900	2026-09-24T14:51:35+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_import_guard
A04.test_radio	0	6.9	2026-09-24T14:51:35+0900	2026-09-24T14:51:42+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_radio
A04.test_scrub	0	0.2	2026-09-24T14:51:42+0900	2026-09-24T14:51:42+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_scrub
A04.test_bootstrap_chain	0	87.9	2026-09-24T14:51:42+0900	2026-09-24T14:53:10+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_bootstrap_chain
A04.test_snapshot	0	1.3	2026-09-24T14:53:10+0900	2026-09-24T14:53:11+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_snapshot
A04.test_dept_name_guard	0	9.6	2026-09-24T14:53:11+0900	2026-09-24T14:53:21+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_dept_name_guard
A04.test_preflight_c03_states	0	0.5	2026-09-24T14:53:21+0900	2026-09-24T14:53:21+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_preflight_c03_states
A04.test_content_pins_parity	0	0.1	2026-09-24T14:53:21+0900	2026-09-24T14:53:21+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_content_pins_parity
A04.test_role_bootstrap_hook	0	59.7	2026-09-24T14:53:21+0900	2026-09-24T14:54:21+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_role_bootstrap_hook
A04.test_seat_latch_negation	0	0.2	2026-09-24T14:54:21+0900	2026-09-24T14:54:21+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_seat_latch_negation
A04.test_hud_bridge_backoff	0	0.2	2026-09-24T14:54:21+0900	2026-09-24T14:54:21+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_hud_bridge_backoff
A04.test_preflight_c11b_seal	0	0.7	2026-09-24T14:54:21+0900	2026-09-24T14:54:22+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_preflight_c11b_seal
A04.test_wakeup_liveness	0	0.2	2026-09-24T14:54:22+0900	2026-09-24T14:54:22+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_wakeup_liveness
A04.test_session_start_hook	0	15.1	2026-09-24T14:54:22+0900	2026-09-24T14:54:37+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_session_start_hook
A04.test_core_inject	0	17.4	2026-09-24T14:54:37+0900	2026-09-24T14:54:55+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_core_inject
A04.test_event_inject	0	8.5	2026-09-24T14:54:55+0900	2026-09-24T14:55:03+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_event_inject
A04.test_py_resolver_clt_stub	0	19.7	2026-09-24T14:55:03+0900	2026-09-24T14:55:23+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_py_resolver_clt_stub
A04.test_v115_dept	0	11.4	2026-09-24T14:55:23+0900	2026-09-24T14:55:34+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_v115_dept
A04.test_preflight_c62_c68_ledger	0	0.1	2026-09-24T14:55:34+0900	2026-09-24T14:55:34+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_preflight_c62_c68_ledger
A04.test_runtime_seal	0	2.5	2026-09-24T14:55:34+0900	2026-09-24T14:55:37+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_runtime_seal
A04.test_preflight_c80_runtime_seal	0	0.5	2026-09-24T14:55:37+0900	2026-09-24T14:55:37+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_preflight_c80_runtime_seal
A04.test_runtime_manifest_parity	0	0.2	2026-09-24T14:55:37+0900	2026-09-24T14:55:38+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_runtime_manifest_parity
