M1 대기 기억 줄 제거 | KILLED | 단위 실패 1 | 헤드리스 실패 c17a · c17b · c17e · c17f · c17g
M2 단추 분기 뒤집기(대기인데 확인·설치) | KILLED | 단위 실패 1 | 헤드리스 실패 c17b · c17c · c17d · c17f · c17g
M3 확인 머리 가드 무력화 | KILLED | 단위 실패 1 | 헤드리스 실패 0
M4 재진입 플래그 안 세움 | KILLED | 단위 실패 1 | 헤드리스 실패 c17e · c17f
M5 재진입 플래그 안 풂(finally 제거) | KILLED | 단위 실패 1 | 헤드리스 실패 c17f · c17g
M6 설치 직전 가드 제거 | KILLED | 단위 실패 1 | 헤드리스 실패 c17h
M7 판번 짝 무효화 제거(decode) | KILLED | 단위 실패 1 | 헤드리스 실패 c17d
M8 새 판 == 지금 판 무효화 제거(decode) | KILLED | 단위 실패 1 | 헤드리스 실패 0
M9 ⌘R 사본 저장 안 함 | KILLED | 단위 실패 0 | 헤드리스 실패 c17c
M10 복원이 메모리 값을 덮음 | KILLED | 단위 실패 1 | 헤드리스 실패 c17l
M12 build_id 짝 무시(같은 판 재빌드 = 옛 판번 규칙으로 무효) | KILLED | 단위 실패 2 | 헤드리스 실패 c17m
M13 build_id 달라도 유효(새 앱에서 거짓 대기) | KILLED | 단위 실패 1 | 헤드리스 실패 c17m
M14 확인 응답 뒤 재확인 제거 | KILLED | 단위 실패 1 | 헤드리스 실패 c17l · c17n
M15 단추가 복원을 안 기다림 | KILLED | 단위 실패 1 | 헤드리스 실패 c17o
M16 팩 적용 완료 뒤 다시 칠하기 제거 | KILLED | 단위 실패 1 | 헤드리스 실패 c17p
M17 배지 칠하기 제거 | SURVIVED | 단위 실패 0 | 헤드리스 실패 0
M18 무효 기억 칸 삭제 안 함 | KILLED | 단위 실패 0 | 헤드리스 실패 c17d
M11 판번 조회 실패에도 기억 삭제(agy 1R #2 되돌림) | KILLED | 단위 실패 0 | 헤드리스 실패 c17k
KILLED 17/18
rc=1
# 14:5x 재실행(c17c 배지 단언 추가 뒤) — M17 배지 칠하기 제거 | KILLED | 단위 실패 0 | 헤드리스 실패 c17c · 최종 KILLED 18/18
