id	rc	secs	start	end	desc
A01	0	0.1	2026-09-24T12:59:17+0900	2026-09-24T12:59:17+0900	ci-branch.yml · macos-rust-pack · 팩 스위트 레인 대조 (ci-branch ⇔ release ⇔ pack-release 드리프트 차단 + windows-build 부분 레인 계약)
A02	0	11.6	2026-09-24T12:59:17+0900	2026-09-24T12:59:28+0900	ci-branch.yml · macos-rust-pack · 게이트 대장 회귀(test_report_gate) + flake 게이트 N=5 (macOS)
A03	0	1.0	2026-09-24T12:59:28+0900	2026-09-24T12:59:29+0900	ci-branch.yml · macos-rust-pack · 선언 파서 2언어 파리티 (골든 픽스처 + 조합 1024건 · macOS)
A04.test_report_ghost	0	0.6	2026-09-24T12:59:29+0900	2026-09-24T12:59:30+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_report_ghost
A04.test_hud_bridge_skew	0	0.1	2026-09-24T12:59:30+0900	2026-09-24T12:59:30+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_hud_bridge_skew
A04.test_todo_shared_constants	0	0.2	2026-09-24T12:59:30+0900	2026-09-24T12:59:30+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_todo_shared_constants
A04.test_todo_stamp	0	0.1	2026-09-24T12:59:30+0900	2026-09-24T12:59:30+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_todo_stamp
A04.test_import_guard	0	3.0	2026-09-24T12:59:30+0900	2026-09-24T12:59:33+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_import_guard
A04.test_radio	0	2.9	2026-09-24T12:59:33+0900	2026-09-24T12:59:36+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_radio
A04.test_scrub	0	0.1	2026-09-24T12:59:36+0900	2026-09-24T12:59:36+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_scrub
A04.test_bootstrap_chain	0	77.2	2026-09-24T12:59:36+0900	2026-09-24T13:00:54+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_bootstrap_chain
A04.test_snapshot	0	1.0	2026-09-24T13:00:54+0900	2026-09-24T13:00:55+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_snapshot
A04.test_dept_name_guard	0	7.2	2026-09-24T13:00:55+0900	2026-09-24T13:01:02+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_dept_name_guard
A04.test_preflight_c03_states	0	0.6	2026-09-24T13:01:02+0900	2026-09-24T13:01:02+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_preflight_c03_states
A04.test_content_pins_parity	0	0.2	2026-09-24T13:01:02+0900	2026-09-24T13:01:03+0900	ci-branch.yml · 유령 todo·선언 소비자 회귀 + HUD 브리지 스큐 + 스탬프 (macOS) · test_content_pins_parity
